Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
I12415	I12415_ERS8208016	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12415_ERS8208016_L1_R1.fastq.gz	NA	NA
I12608	I12608_ERS8208017	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12608_ERS8208017_L1_R1.fastq.gz	NA	NA
I12415	I12415_ERS8208015	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12415_ERS8208015_L1_R1.fastq.gz	NA	NA
I12414	I12414_ERS8208014	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12414_ERS8208014_L1_R1.fastq.gz	NA	NA
I12317	I12317_ERS8208005	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12317_ERS8208005_L1_R1.fastq.gz	NA	NA
I12317	I12317_ERS8208006	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12317_ERS8208006_L1_R1.fastq.gz	NA	NA
I16247	I16247_ERS8208523	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I16247_ERS8208523_L1_R1.fastq.gz	NA	NA
I12106	I12106_ERS8207992	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12106_ERS8207992_L1_R1.fastq.gz	NA	NA
I12110	I12110_ERS8207995	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12110_ERS8207995_L1_R1.fastq.gz	NA	NA
I12104	I12104_ERS8207988	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12104_ERS8207988_L1_R1.fastq.gz	NA	NA
I12107	I12107_ERS8207993	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12107_ERS8207993_L1_R1.fastq.gz	NA	NA
I12105	I12105_ERS8207990	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12105_ERS8207990_L1_R1.fastq.gz	NA	NA
